id,category,technique_name,description,emergency_services_applications,bombeiros_applications,protecao_civil_applications,flow_integration
1,Emergency Protocol,Incident Command SCAMPER,"Substitute, Combine, Adapt, Modify, Put to Another Use, Eliminate, Reverse applied to incident command decisions","Analyze equipment substitution, multi-agency combination, tactic adaptation, protocol modifications, equipment repurposing, response chain delays, and counterfactual escalation scenarios","Fireground decisions on apparatus and personnel; rescue operations tactics; hazmat response protocols","Multi-agency coordination strategies; resource mobilization patterns; public communication improvements","step-03-technique-execution"
2,Emergency Protocol,Rapid After Action Review (AAR),"Structured debrief technique extracting lessons from incidents within 24-48 hours: timeline, causal analysis, preserve/improve actions, immediate/long-term changes","Fireground decisions review; rescue operations analysis; hazmat response debriefs; operational improvements","Multi-agency coordination assessment; resource mobilization evaluation; public communication effectiveness","step-04-idea-organization"
3,Emergency Protocol,What-If Scenario Planning,"Explore hypothetical emergency scenarios: compound events, backup scenarios, communication resilience, capacity planning","Wildfire + earthquake + power outage scenarios; major fire during mass gathering; extended operations","Compound disaster scenarios; cascading failure planning; resource depletion contingencies","step-02b-ai-recommended"
4,Emergency Protocol,Chain of Command Mapping,"Visualize decision-making pathways and authority structures during emergencies using ICS template","Fireground command hierarchy; tactical operations division; logistics coordination; planning section integration","Emergency Operations Center structure; multi-agency command relationships; strategic resource allocation","step-02c-random-selection"
5,Emergency Protocol,Resource Flow Analysis,"Track resource movement and allocation during emergency response: bottlenecks, inter-agency flow, information accompaniment","Apparatus deployment; personnel tracking; water supply management; foam and tool logistics","Shelter operations; medical supply distribution; transport coordination; food logistics; shared resources","step-03-technique-execution"
6,Response Optimization,Time-Critical Decision Tree,"Map critical decision points with time constraints: 0-5min size-up, 5-15min strategic, 15+min tactical","Fire attack decisions; rescue prioritization; hazmat containment; defensive vs offensive operations","Mass casualty triage; evacuation orders; shelter activation; resource request protocols","step-03-technique-execution"
7,Response Optimization,Response Time Decomposition,"Break down total response time: alarm-to-dispatch, dispatch-to-enroute, enroute-to-arrival, setup, intervention","Station placement optimization; turnout time reduction; travel route planning; pre-positioning strategies","Dispatch center efficiency; staging area placement; mutual aid activation timing; shelter setup procedures","step-04-idea-organization"
8,Response Optimization,Mutual Aid Pathways,"Design inter-agency cooperation mechanisms: trigger conditions, resource types, request process, command structure, cost recovery","Automatic aid agreements; requested operational aid; administrative approval pathways; disaster declaration procedures","Regional coordination; national resource requests; cross-jurisdiction assistance; specialized team deployment","step-03-technique-execution"
9,Response Optimization,Pre-Positioning Strategy,"Determine optimal resource placement for rapid deployment: risk mapping, historical analysis, population exposure, infrastructure assessment","Fire station positioning; water tender staging; rural water supply points; wildfire response caches","Emergency shelter pre-positioning; medical supply caches; transport staging; communication equipment placement","step-02a-user-selected"
10,Citizen Engagement,Public Alert Empathy Map,"Understand how citizens receive, interpret, and respond to emergency alerts: trust in source, action clarity, severity understanding, information overload","Alert message design for fires; evacuation order communication; shelter-in-place messaging; warning system effectiveness","Multi-hazard alert design; warning message accessibility; multi-language emergency notifications; public information campaigns","step-03-technique-execution"
11,Citizen Engagement,Vulnerable Population Journey,"Map emergency experience for elderly, disabled, non-Portuguese speakers, isolated populations across alert-assess-decide-action-recovery phases","Accessible alert systems for hearing/vision impaired; mobility challenged evacuation; cognitive support needs during fires","Special needs registry coordination; transportation for disabled; language translation services; rural isolated population outreach","step-04-idea-organization"
12,Citizen Engagement,Community Resilience Mapping,"Identify and strengthen community capacity for self-response: CERT programs, neighborhood networks, volunteer organizations, gaps analysis","Community fire watch programs; neighborhood emergency response teams; volunteer fire auxiliary; business preparedness partnerships","Community emergency planning; volunteer coordination; faith-based network integration; youth engagement programs","step-02a-user-selected"
13,Citizen Engagement,Rumor Cascade Analysis,"Understand how information and misinformation spreads: origin, spread mechanisms, credibility factors, counter-rumour strategies","Official information penetration during fires; social media monitoring; trusted messenger activation; rapid factual correction","Public information management; social media coordination; community liaison communication; media relations during disasters","step-03-technique-execution"
14,Multi-Agency Coordination,Interoperability Matrix,"Map communication and coordination between different agencies and jurisdictions: tactical, operational, strategic levels","PSP/GNR tactical coordination; SNS patient handoff; joint operations communication protocols","Strategic resource coordination; security support requests; medical resource sharing; multi-agency information flow","step-02c-random-selection"
15,Multi-Agency Coordination,Joint Operations Protocol,"Design how multiple agencies work together: unified command structure, incident action plan, coordination meetings, public information","Unified command implementation; joint tactical operations; multi-agency resource management; integrated public messaging","Area command coordination; event-level strategic planning; inter-agency exercise design; memorandum of understanding development","step-03-technique-execution"
16,Multi-Agency Coordination,Information Sharing Framework,"Define what information flows between agencies: operational, tactical, strategic, public, sensitive categories with timing and security","Real-time incident updates; tactical assignment communications; resource status sharing; public information coordination","Emergency declarations; resource requests; damage reports; public warning coordination; inter-agency situational awareness","step-02b-ai-recommended"
17,Training & Readiness,Competency Tree Mapping,"Map skills required for different emergency scenarios: fire suppression, technical rescue, EMS, specialized capabilities (hazmat, water rescue, wildfire, USAR)","Fire suppression competencies; technical rescue skills; hazmat operations; water rescue certification; USAR team training","Multi-agency coordination competencies; emergency management fundamentals; shelter management; mass casualty response","step-04-idea-organization"
18,Training & Readiness,Scenario-Based Training Design,"Create realistic training scenarios: objectives, situation context, injection points, expected decisions, success criteria","Tabletop exercises; functional drills; full-scale exercises; live fire training; tabletop command simulations","Joint agency exercises; tabletop discussions; functional exercises; community evacuation drills; communication exercises","step-02a-user-selected"
19,Training & Readiness,After Action Review Integration,"Connect real incident learning to training program updates: document-everything, extract-learnings, prioritize-actions, revise-programs","Post-incident debrief integration; training program updates based on operational experience; competency gap closure","Exercise evaluation; continuous improvement process; best practices documentation; lessons learned dissemination","step-02d-progressive-flow"
20,Training & Readiness,Stress Inoculation Training,"Prepare responders for high-stress situations through gradual exposure to realistic scenarios","Fireground stress management; rescue operation psychological preparation; critical incident stress debriefing","Multi-stakeholder coordination stress; public pressure management; media interaction stress; decision-making under pressure","step-03-technique-execution"
21,Training & Readiness,Certification Framework Mapping,"Define certification requirements and pathways for emergency service personnel","Firefighter certification levels; rescue technician certification; incident command certification; specialized team qualifications","Emergency management certification; coordination specialist credentials; exercise design certifications; leadership development tracks","step-04-idea-organization"
22,Technology Integration,GIS-Centric Planning,"Use geographic information systems for emergency planning: risk mapping, pre-incident planning, real-time situational awareness, damage assessment","Fire risk mapping; pre-incident planning; hydrant location mapping; real-time fire spread prediction; evacuation route planning","Hazard identification; vulnerability mapping; shelter placement analysis; damage assessment mapping; impact zone visualization","step-02b-ai-recommended"
23,Technology Integration,Communications Architecture,"Design reliable communication systems: field layer, network layer, application layer, integration layer","Radio systems; interoperability gateways; CAD integration; mobile data terminals; satellite backup communications","Emergency alert systems; mass notification platforms; multi-agency communication protocols; backup communication networks","step-03-technique-execution"
24,Technology Integration,Decision Support Systems,"Create tools that help commanders make better decisions: predictive, optimization, visualization, analytics capabilities","Fire spread modeling; resource allocation optimization; common operating picture displays; incident management analytics","Predictive flood modeling; evacuation optimization; resource request recommendations; multi-agency situational awareness dashboards","step-02a-user-selected"
25,Technology Integration,UAS Integration,"Integrate Unmanned Aircraft Systems for emergency response: aerial reconnaissance, thermal imaging, communication relay, damage assessment","Fire scene aerial assessment; hazmat cloud monitoring; search and rescue overflight; structural damage inspection","Flood area assessment; disaster damage surveys; communication relay platforms; evacuation route monitoring; search area coverage","step-03-technique-execution"
26,Technology Integration,IoT Sensor Networks,"Deploy Internet of Things sensors for real-time monitoring: environmental sensors, structural sensors, resource tracking","Structural fire sensors; smoke detectors; heat sensors; apparatus tracking; personnel location systems","Flood water level sensors; environmental monitoring stations; asset tracking systems; communication node monitoring; shelter occupancy sensors","step-02b-ai-recommended"
27,Disaster Recovery,Business Continuity Planning,"Ensure emergency service continuity during and after major incidents: alternative operations, resource redundancy, succession planning","Station redundancy; apparatus backup; personnel surge capacity; command succession planning","COE continuity; multi-agency coordination backup; resource surge planning; leadership succession during extended operations","step-04-idea-organization"
28,Disaster Recovery,Recovery Transition Framework,"Transition from emergency response to recovery operations: damage assessment, resource demobilization, service restoration","Fire investigation transition; scene clearance; property handover; long-term monitoring protocols","Damage assessment coordination; shelter transition planning; infrastructure restoration liaison; community recovery support","step-02a-user-selected"
29,Disaster Recovery,Psychological First Aid,"Provide immediate psychological support to responders and affected citizens: safety, calm, self-efficacy, connectedness, hope","Critical incident stress management; peer support programs; responder resilience training; family support coordination","Victim support coordination; community psychological support; responder family assistance; long-term mental health referrals","step-03-technique-execution"
30,Disaster Recovery,Infrastructure Liaison,"Coordinate with utility companies and infrastructure operators during emergencies: power, water, gas, telecommunications, transportation","Utility shutdown coordination; road closure liaison; infrastructure damage reporting; restoration priority input","Infrastructure interdependencies; critical infrastructure protection; restoration coordination; utility liaison protocols","step-02c-random-selection"
31,Innovation Methods,Lean Startup for Emergency Services,"Apply startup methodology: MVP for training, pilot procedures, validated learning, innovation accounting for emergency contexts","Pilot new firefighting techniques; test new equipment before full deployment; measure response time improvements; pivot tactics based on outcomes","Test new coordination procedures; pilot communication protocols; evaluate innovation effectiveness; adapt strategies based on results","step-01-session-setup"
32,Innovation Methods,Design Thinking for Citizen Experience,"Use design thinking for emergency citizen journey: empathize, define, ideate, prototype, test with actual citizens","Citizen evacuation experience; fire alert design; shelter experience during fires; post-fire recovery support","Emergency alert experience; shelter journey design; disaster recovery support; multi-hazard citizen experience optimization","step-03-technique-execution"
33,Innovation Methods,Sprint Methodology for Emergency Planning,"5-day sprint adapted for emergency services: map current flow, sketch alternatives, decide solution, prototype, test with stakeholders","Accelerated fire service improvements; rapid equipment testing; procedure innovation sprints; team-based problem-solving weeks","Emergency management process sprints; coordination improvement weeks; procedure design sprints; multi-agency exercise planning","step-02d-progressive-flow"
34,Problem-Focused,5 Whys,"Deep dive into root causes by asking 'Why?' five times sequentially","Analyze fire cause investigation; response time delay root cause; training gap analysis; operational challenge identification","Coordination failure root cause; resource shortage cause; communication breakdown analysis; public compliance issue investigation","step-03-technique-execution"
35,Problem-Focused,Problem Tree Analysis,"Map causes and effects of problems in tree format showing relationships and cascading impacts","Visualize fire risk factors; response failure cascades; equipment failure effects; community vulnerability chains","Emergency management problem mapping; resource allocation problem tree; coordination failure visualization; impact chain analysis","step-03-technique-execution"
36,User-Centered,Empathy Mapping,"Understand stakeholders' thoughts, feelings, hearing, seeing, saying/doing, pains, gains","Map experiences of citizens in emergencies; responders during incidents; dispatchers under pressure; incident commanders under stress","Affected community members; evacuated families; vulnerable populations; media representatives; government officials","step-03-technique-execution"
37,User-Centered,User Journey Mapping,"Map complete experience journey of users through emergency services","Track citizen journey from emergency awareness through fire response to recovery; family member notification journey; property owner post-incident journey","Disaster victim journey; evacuation experience mapping; shelter resident journey; recovery program access journey","step-02a-user-selected"
38,User-Centered,Persona Development,"Create detailed profiles of different user types","Develop personas for elderly in fires; children in disasters; responders; community members; business owners; tourists/visitors","Special needs populations; non-Portuguese speakers; rural residents; urban vulnerable; institutional populations; seasonal visitors","step-02b-ai-recommended"
39,Opportunity Discovery,Classic Brainstorming,"Generate ideas freely with quantity focus, no criticism during generation phase","Free-form idea generation for fire service challenges; rescue operation improvements; prevention program innovations; community engagement ideas","Emergency coordination brainstorming; multi-agency improvement ideas; community resilience ideas; communication enhancement brainstorming","step-03-technique-execution"
40,Opportunity Discovery,Brainwriting,"Written idea generation where participants write silently before sharing","Good for teams where verbal participation is uneven or hierarchy inhibits sharing; quiet idea generation before group discussion","Diverse team input; hierarchical organization brainstorming; multi-cultural team collaboration; shy participant engagement","step-03-technique-execution"
41,Opportunity Discovery,Random Word Stimulation,"Use random words to spark creative connections by bridging unrelated concepts","Break cognitive patterns; connect unrelated words to fire service challenges; innovative solution sparks; creative tactical applications","Random word connection to emergency scenarios; creative coordination solutions; innovative communication approaches; fresh perspective generation","step-03-technique-execution"
42,Constraint-Based,Reverse Brainstorming,"Solve problems by asking 'How might we cause this problem?' to understand vulnerabilities","Imagine causing fires; create coordination failures; design communication breakdowns; understand vulnerabilities by anticipating threats","Create disaster scenarios; imagine coordination failures; plan for information manipulation; anticipate malicious disruption","step-02c-random-selection"
43,Constraint-Based,Assumption Busting,"Challenge fundamental assumptions about how emergency response works","What assumptions about fire response are no longer true? What practices should we stop? What traditions no longer serve?","What coordination assumptions are outdated? What communication methods are obsolete? What planning assumptions need challenge?","step-02b-ai-recommended"
44,Constraint-Based,Pre-Mortem Analysis,"Imagine the innovation has failed and analyze why before implementation","Plan for failure scenarios; identify risks before new emergency services innovations; anticipate failure modes; build in safeguards early","Innovation risk assessment; new procedure failure prediction; technology adoption failure analysis; exercise planning risk identification","step-02a-user-selected"
45,Systemic Thinking,Systems Mapping,"Map the emergency services ecosystem and interactions between all actors","Visualize connections between fire, EMS, police, utilities, hospitals, community resources; identify leverage points; understand system dynamics","Emergency management ecosystem mapping; multi-agency network visualization; interdependency analysis; system leverage point identification","step-03-technique-execution"
46,Systemic Thinking,STEEP Analysis,"Analyze Social, Technological, Economic, Environmental, Political factors affecting emergency services","Demographic changes affecting fire risk; technology disruption in fire service; economic factors in resource allocation; environmental changes affecting response","Climate change impacts on emergencies; social media influence on disasters; economic factors in emergency management; political considerations in coordination","step-02b-ai-recommended"
47,Systemic Thinking,PESTLE for Emergency Services,"Comprehensive Political, Economic, Social, Technological, Legal, Environmental analysis for strategic planning","Political support for fire services; economic funding factors; social risk factors; technology adoption; legal requirements; environmental considerations","Government emergency policy; disaster funding economics; community social factors; technology in emergency management; legal frameworks; environmental planning factors","step-02b-ai-recommended"
48,Scenario-Based,Role Storming,"Imagine solutions from different stakeholder perspectives","What would a firefighter chief do? A city mayor? A citizen? A tech entrepreneur? A hospital administrator?","What would ANEPC director do? A mayor? A volunteer coordinator? A community leader? An international aid worker?","step-03-technique-execution"
49,Scenario-Based,Worst-Case Ideation,"Generate solutions for best responses to worst-case scenarios","Plan for major disasters; imagine ideal responses to catastrophic events; catastrophic fire response; mass casualty incident planning","Major disaster response planning; catastrophic event coordination; multi-site incident management; cascading failure response","step-02c-random-selection"
50,Startup-Inspired,Lean Canvas for Emergency Services,"Business model canvas adapted for public safety services","Map fire service value propositions; identify customer segments; define channels; analyze cost/revenue structures for fire prevention services","Emergency management value proposition; citizen protection services; community risk reduction programs; inter-agency service delivery","step-01-session-setup"
51,Startup-Inspired,MVP Canvas,"Identify minimum viable solutions for emergency innovations","What is the smallest version of this idea that we can test quickly? Minimal viable training; pilot procedure; testable hypothesis about operations","Minimal viable coordination exercise; smallest testable communication protocol; pilot prevention program; minimal viable community engagement","step-03-technique-execution"
52,Strategic Analysis,SWOT for Emergency Services,"Strengths, Weaknesses, Opportunities, Threats analysis for emergency services organizations","Fire department capabilities assessment; identify competitive advantages; recognize vulnerabilities; spot external opportunities and threats","Organization emergency management assessment; coordination strengths; resource vulnerabilities; external opportunity and threat identification","step-01-session-setup"
53,Prioritization,Impact-Effort Matrix,"Prioritize ideas based on impact versus effort required","Quick wins vs strategic bets for fire service innovation; identify high-impact low-effort improvements; focus resources on highest return activities","Easy wins vs major initiatives for emergency management; resource allocation optimization; impact prioritization matrix","step-04-idea-organization"
54,Prioritization,Now-Wow-How-Never,"Categorize ideas: Now (do first), Wow (exciting but hard), How (need to find way), Never (avoid)","Prioritize fire service improvements; identify quick wins; plan challenging but exciting projects; find workarounds; eliminate harmful practices","Emergency coordination prioritization; shelter improvement categorization; exercise program classification; never-do list development","step-04-idea-organization"
55,Rapid Ideation,Crazy 8s Ideation,"Generate 8 ideas in 8 minutes for rapid ideation sprints","Quick ideation sprint for fire equipment ideas; fire station design ideas; prevention program concepts; communication improvement sketches","Rapid idea generation for emergency alerts; shelter improvement ideas; coordination process innovations; community engagement concepts","step-03-technique-execution"
56,Visual Thinking,Mind Mapping,"Radial diagram connecting ideas to central theme for visual exploration","Visual exploration of fire service challenges; connected idea generation; problem space visualization; solution relationship mapping","Emergency management mind mapping; coordination network visualization; resource flow mapping; stakeholder relationship mapping","step-03-technique-execution"
57,Clustering,Affinity Diagram,"Group large numbers of ideas into natural themes and categories","Organize many generated ideas into Technology, Training, Process, Equipment, Prevention, Community categories","Organize coordination ideas; categorize communication improvements; cluster training concepts; group resource management ideas","step-04-idea-organization"
58,Prioritization,MoSCoW Prioritization,"Categorize by Must do, Should do, Could do, Won't do for requirements and ideas","Prioritize emergency innovations by criticality; identify essential capabilities; desirable improvements; unnecessary additions; items to avoid","Must-do coordination improvements; essential communication elements; desirable capabilities; things to deprioritize; never-implement items","step-04-idea-organization"
59,Structured Ideation,Nominal Group Technique,"Structured process: silent idea generation followed by group discussion and voting","Ensure all voices heard in diverse fire service teams; structured participation; democratic idea selection; inclusive team input","Structured input from all agencies; diverse stakeholder participation; inclusive coordination planning; representative idea generation","step-03-technique-execution"
60,Startup-Inspired,Design Thinking Sprint,"5-day sprint methodology adapted for emergency services: Understand, Define, Ideate, Prototype, Test","Accelerated emergency services innovation; rapid citizen experience improvement; quick prototyping of solutions; fast iteration cycles","Design sprint for emergency alerts; citizen journey improvement sprint; coordination innovation sprint; communication improvement week","step-02d-progressive-flow"
